iter	Passed	Remaining
387	137510	39693
388	137884	39344
389	138258	38995
390	138618	38643
391	138967	38286
392	139311	37929
393	139816	37615
394	140142	37253
395	140487	36895
396	140815	36533
397	141130	36169
398	141461	35808
399	141815	35453
400	142144	35093
401	142489	34736
402	142814	34374
403	143164	34019
404	143495	33659
405	143835	33301
406	144191	32948
407	144576	32600
408	144936	32247
409	145316	31898
410	145671	31544
411	146018	31188
412	146348	30828
413	146713	30476
414	147071	30123
415	147457	29774
416	147826	29423
417	148172	29067
418	148528	28713
419	148879	28358
420	149211	27999
421	149564	27644
422	149889	27284
423	150263	26934
424	150656	26586
425	151097	26246
426	151455	25892
427	151797	25536
428	152116	25175
429	152465	24819
430	152798	24461
431	153127	24103
432	153464	23746
433	153813	23390
434	154156	23034
435	154482	22676
436	154804	22317
437	155118	21957
438	155457	21601
439	155779	21242
440	156108	20885
441	156461	20531
442	156811	20176
443	157180	19824
444	157552	19472
445	157893	19117
446	158252	18763
447	158592	18408
448	158925	18051
449	159242	17693
450	159582	17338
451	159949	16985
452	160284	16629
453	160648	16277
454	161016	15924
455	161382	15572
456	161709	15215
457	162069	14862
458	162446	14510
459	162825	14158
460	163203	13806
461	163634	13459
462	163992	13105
463	164475	12761
464	164840	12407
465	165182	12051
466	165527	11696
467	165856	11340
468	166173	10983
469	166551	10630
470	166883	10275
471	167269	9922
472	167618	9568
473	167996	9214
474	168200	8852
475	168573	8499
476	168925	8145
477	169296	7791
478	169623	7436
479	169965	7081
480	170320	6727
481	170684	6374
482	171047	6020
483	171404	5666
484	171826	5314
485	172176	4959
486	172522	4605
487	172853	4250
488	173216	3896
489	173592	3542
490	173963	3188
491	174323	2834
492	174662	2479
493	175019	2125
494	175405	1771
495	175777	1417
496	176125	1063
497	176471	708
498	176780	354
499	177123	0
